chromosomes,Bos_taurus_2,Capra_hircus_2,Ceratotherium_simum_9,Equus_caballus_18,Giraffa_tippelskirchi_3,Gorilla_gorilla_3,Mus_musculus_2,Panthera_tigris_C1,Sus_scrofa_15,Tursiops_truncatus_7
uce-1131_p2,0,0,0,0,0,0,0,0,0,0
uce-1131_p3,0,0,0,0,0,0,0,0,0,0
uce-1131_p4,0,0,0,0,0,0,0,0,0,0
uce-1133_p3,0,0,0,0,0,0,0,0,0,0
uce-1134_p2,0,0,0,0,0,0,0,0,0,0
uce-1135_p1,1,1,1,1,1,1,1,1,1,1
uce-1138_p2,0,0,0,0,0,0,0,1,0,0
uce-1139_p2,0,0,0,0,0,0,0,0,0,0
uce-114_p1,0,0,0,0,0,0,0,0,0,0
uce-1141_p4,0,0,0,0,0,0,1,0,0,0
uce-1143_p2,0,0,0,0,0,0,0,0,0,0
uce-1148_p1,0,0,0,0,0,0,0,0,0,0
uce-1149_p1,0,0,0,0,0,0,0,0,0,0
uce-115_p1,0,0,0,0,0,0,0,0,0,0
uce-115_p2,0,0,0,0,0,0,0,0,0,0
uce-1150_p1,0,0,0,0,0,0,0,0,0,0
uce-1154_p1,0,0,0,0,0,0,0,1,0,0
uce-1154_p2,0,0,0,0,0,0,0,1,0,0
uce-1155_p1,0,0,0,0,0,0,0,0,0,0
uce-1157_p2,0,0,0,0,0,0,0,0,0,0
uce-1158_p1,0,0,0,0,0,0,0,0,0,0
uce-1158_p2,0,0,0,0,0,0,0,0,0,0
uce-1159_p1,0,0,0,0,0,0,0,0,0,0
uce-1161_p2,0,0,0,0,0,0,0,0,0,0
uce-1162_p1,0,0,0,0,0,0,0,0,0,0
uce-1162_p2,0,0,0,0,0,0,0,0,0,0
uce-1163_p1,0,0,0,0,0,0,0,0,0,0
uce-1163_p2,0,0,0,0,0,0,0,0,0,0
uce-1167_p1,0,0,0,0,0,0,0,0,0,0
uce-1168_p5,0,0,0,0,0,0,0,0,0,0
uce-1169_p7,0,0,0,0,0,0,0,0,0,0
uce-117_p2,0,0,0,0,0,0,0,0,0,0
uce-1170_p1,0,0,0,0,0,0,0,0,0,0
uce-1172_p1,1,1,1,1,1,1,1,1,1,1
uce-1172_p2,1,1,1,1,1,1,1,1,1,1
uce-1173_p2,0,0,0,0,0,0,0,0,0,0
uce-1174_p2,0,0,0,0,0,0,0,0,0,0
uce-1176_p2,0,0,0,0,0,0,0,0,0,0
uce-1177_p2,0,0,0,0,0,0,0,0,0,0
uce-1178_p1,0,0,0,0,0,0,0,0,0,0
uce-1181_p1,0,0,0,0,0,0,0,0,0,0
uce-1182_p1,0,0,0,0,0,0,0,0,0,0
uce-1183_p2,1,1,1,1,1,1,1,1,1,1
uce-1185_p1,0,0,0,0,0,0,0,1,0,0
uce-1187_p2,0,0,0,0,0,0,0,0,0,0
uce-1188_p1,0,0,0,0,0,0,1,0,0,0
uce-119_p1,0,0,0,0,0,0,0,0,0,0
uce-1190_p3,0,0,0,0,0,0,0,0,0,0
uce-1191_p1,0,0,0,0,0,0,0,0,0,0
uce-1192_p2,0,0,0,0,0,0,1,0,0,0
uce-1193_p1,0,0,0,0,0,0,0,0,0,0
uce-1194_p2,0,0,0,0,0,0,0,0,0,0
uce-12_p1,0,0,0,0,0,0,0,0,0,0
uce-120_p2,0,0,0,0,0,0,0,0,0,0
uce-1200_p3,0,0,0,0,0,0,0,0,0,0
uce-1201_p2,1,1,1,1,1,1,1,1,1,1
uce-1202_p1,0,0,0,0,0,0,0,0,0,0
uce-1202_p2,0,0,0,0,0,0,0,0,0,0
uce-1202_p3,0,0,0,0,0,0,0,0,0,0
uce-1203_p1,0,0,0,0,0,0,0,0,0,0
uce-1204_p4,0,0,0,0,0,0,0,0,0,0
uce-1205_p1,0,0,0,0,0,0,0,0,0,0
uce-1205_p2,0,0,0,0,0,0,0,0,0,0
uce-1206_p2,0,0,0,0,0,0,0,0,0,0
uce-1207_p1,0,0,0,0,0,0,0,0,0,0
uce-1209_p1,1,1,1,1,1,1,1,1,1,1
uce-121_p1,0,0,0,0,0,0,0,1,0,0
uce-1210_p1,0,0,0,0,0,0,0,0,0,0
uce-1210_p2,0,0,0,0,0,0,0,0,0,0
uce-1210_p3,0,0,0,0,0,0,0,0,0,0
uce-1211_p1,0,0,0,0,0,0,0,0,0,0
uce-1212_p3,1,1,1,1,1,1,1,1,1,1
uce-1215_p2,0,0,0,0,0,0,0,0,0,0
uce-1216_p2,0,0,0,0,0,0,0,0,0,0
uce-1217_p4,0,0,0,0,1,0,0,0,0,0
uce-1219_p1,0,0,0,0,0,0,0,0,0,0
uce-1222_p1,0,0,0,0,0,0,0,0,0,0
uce-1224_p1,0,0,0,0,0,0,0,0,0,0
uce-1225_p2,0,0,0,0,0,0,0,0,0,0
uce-1225_p3,0,0,0,0,0,0,0,0,0,0
uce-1230_p2,0,0,0,0,0,0,0,0,0,0
uce-1231_p1,0,0,0,0,0,0,0,0,0,0
uce-1232_p1,0,0,0,0,0,0,0,1,0,0
uce-1233_p1,0,0,0,0,0,0,0,0,0,0
uce-1234_p1,0,0,0,0,0,0,0,0,0,0
uce-1234_p2,0,0,0,0,0,0,0,0,0,0
uce-1236_p4,0,0,0,0,0,0,0,0,0,0
uce-1239_p1,0,0,0,0,0,0,1,0,0,0
